Star Name,Distance (pc),Spectral Class,Index
Dombay,134.84539974918758,K1V,143
Dschubba,150.6024096385542,B0.3IV,144
Dubhe,37.67897513187641,G9III+A7.5,145
Dziban,22.753128555176335,F5IV-V,146
Ebla,28.821932337631644,K3V,147
Edasich,31.026993484331374,K2III,148
Electra,124.06947890818857,B6IIIe,149
Elgafar,37.20348819905354,G2IV,150
Elkurud,239.63001126261054,B7III,151
Elnath,41.050903119868636,B7III,152
Eltanin,47.303689687795654,K5III,153
Emiw,36.11033875108782,K1IV,154
Enif,211.41649048625789,K2Ib-II,155
Epsilon Eridani,3.219810333852474,K2V,156
Epsilon Tauri,44.71192109240165,G9.5IIICN0.5,157
Errai,13.789927009916337,K1III-IVCN1,158
Fafnir,90.44862518089725,K1.5IIIFe-1,159
Fang,179.53321364452424,B1V+B2:V:,160
Fawaris,50.58168942842691,A0IV,161
Felis,176.0904400500097,K5III,162
Felixvarela,34.51572709104904,K4Vk:,163
Flegetonte,29.357022493350634,K0V,164
Fomalhaut,7.7035667514059005,A4V,165
Formosa,138.22655332089295,G9III,166
Franz,224.85553032176824,F5V,167
Fulu,181.81818181818184,B2IV,168
Fumalsamakah,125.15644555694617,B6Ve,169
Funi,67.94678407870956,G0V,170
Furud,111.11111111111111,B2.5V,171
Fuyue,40.430177084175625,K2III,172
Gacrux,27.151778441487917,M3.5III,173
Gakyid,83.62882183715797,G5,174
Giausar,115.66309653242038,M0III-IIIaCa1,175
Gienah,47.103155911446066,B8III,176
Ginan,70.42303114810667,K3III,177
Gloas,230.8935580697298,G1V,178
Gomeisa,49.578582052553294,B8Ve,179
Grumium,34.41120704190941,K2III,180
Gudja,117.09601873536302,M0.5IIIab,181
Gumala,27.53948473624058,F8V,182
Guniibuu,5.933309600094933,K2V+K1V,183
Hadar,120.19230769230768,B1III,184
Haedus,71.32260641332877,B3V,185
Hamal,20.177562550443906,K2-IIIbCa-1,186
Hassaleh,137.94815908181704,K3II-III,187
Hatysa,714.2857142857143,O9IIIvar,188
Helvetios,15.526793034059574,G2IV,189
Heze,22.858867068830335,A2Van,190
Hoggar,186.29606170125564,G8IV,191
Homam,62.65664160401002,B8V,192
Horna,251.59131506780383,G,193
Hunahpu,113.16697787585584,K0III/IV,194
Hunor,128.51653365205433,F8V,195
Iklil,144.7178002894356,B2IV-V,196
Illyrian,126.65602756035159,G0,197
