Star Name,Distance (pc),Image URL,Spectral Class,Center Pixel,L/L_o,Average Color
Algieba,39.88831272437176,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Algieba&format=jpg,"('K', '1', 'III')",255,58.00000000000003,"[0.3777365092181402, 0.3509444536797359, 0.32651420519762203]"
Algol,27.5709953129308,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Algol&format=jpg,"('B', '8', 'V')",255,383.6866859166621,"[0.35783583170730954, 0.39711551087971736, 0.4389611942874933]"
Alioth,25.31004808909137,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alioth&format=jpg,"('A', '1', 'III')",255,129.0000000000001,"[0.30753837660254413, 0.410783274554016, 0.5169097383215076]"
Aljanah,23.16053259960766,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Aljanah&format=jpg,"('K', '0', 'III')",255,50.00000000000002,"[0.3776308469117022, 0.3390045029120736, 0.30103649108523395]"
Alkaid,31.86743148502231,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alkaid&format=jpg,"('B', '3', 'V')",255,1447.5604552522673,"[0.23166274179823068, 0.3801989276891377, 0.5316174328885572]"
Alkaphrah,109.89010989010988,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alkaphrah&format=jpg,"('A', '1', 'V')",255,30.30000000000001,"[0.23095863477238165, 0.36421558286488775, 0.47902122103324135]"
Alkarab,53.4584974954694,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alkarab&format=jpg,"('F', '8', 'III')",255,42.45882963270786,"[0.255715511136704, 0.3106187732545593, 0.3662752906040465]"
Alkes,49.09348873058966,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alkes&format=jpg,"('K', '0', 'III')",255,50.00000000000002,"[0.37831439861984884, 0.3018405153442964, 0.20251999971756798]"
Almaaz,1012.2482032594392,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Almaaz&format=jpg,"('A', '9', 'I')",255,28898.19993200597,"[0.3521869764071911, 0.3597052030974052, 0.36824752071729383]"
Alnair,30.96934035305048,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alnair&format=jpg,"('B', '6', 'V')",252,97.52120305816788,"[0.3520552142012109, 0.3921379368855214, 0.43091267238575687]"
Alnasl,29.700029700029702,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alnasl&format=jpg,"('K', '0', 'III')",253,50.00000000000002,"[0.2654397828057687, 0.3165498557608529, 0.3574312961096586]"
Alnilam,606.0606060606061,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alnilam&format=jpg,"('B', '0', 'I')",255,429984.9731916599,"[0.21828749951425935, 0.35245664178334496, 0.4889523143365184]"
Alnitak,225.7336343115124,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alnitak&format=jpg,"('O', '9.7', 'I')",255,552862.2758852125,"[0.38329384998214644, 0.40132560770208564, 0.4215816219716242]"
