,Star Name,Distance (pc),Spectral Class,Index,Luminosity Class
120,Chalawan,13.88753871151416,G1-VFe-0.5,120,V
121,Chamukuy,45.845272206303726,A7III,121,III
122,Chaophraya,182.26556092226372,G9V,122,V
123,Chara,8.47266633114908,G0V,123,V
124,Chason,310.71339796172015,G1V,124,V
125,Chechia,72.85231378948596,G8IV,125,IV
126,Chertan,49.22228785193936,A2IV,126,IV
127,Citadelle,192.24114729516705,K0,127,
128,Citala,29.91772625280479,G0V,128,V
129,Cocibolca,34.10792429405124,G7VFe-1CH-0.5,129,V
130,Copernicus,12.58681757421817,K0IV-V,130,IV
131,Cor Caroli,30.559825442277077,A0VpSiEu,131,V
132,Cujam,76.31607063815498,A2VpCrSr,132,V
133,Cursa,27.58955569779504,A3IV,133,IV
134,Dalim,13.998994872168176,F6V,134,V
135,Deneb,432.9004329004329,A2Ia,135,I
136,Deneb Algedi,11.866619200189866,kA5hF0mF2III,136,III
137,Denebola,10.99989000109999,A3Va,137,V
138,Diadem,17.825311942959,F5V+F6V,138,V
139,Dingolay,139.3009876440024,G6V,139,V
140,Diphda,29.53337271116361,G9.5IIICH-1,140,III
141,Diwo,403.0470355890532,F4,141,
142,Dofida,37.67485843671943,G0V,142,V
143,Dombay,134.84539974918758,K1V,143,V
144,Dschubba,150.6024096385542,B0.3IV,144,IV
145,Dubhe,37.67897513187641,G9III+A7.5,145,III
146,Dziban,22.753128555176332,F5IV-V,146,IV
147,Ebla,28.821932337631644,K3V,147,V
148,Edasich,31.02699348433137,K2III,148,III
149,Electra,124.06947890818856,B6IIIe,149,III
150,Elgafar,37.20348819905354,G2IV,150,IV
151,Elkurud,239.6300112626105,B7III,151,III
152,Elnath,41.05090311986864,B7III,152,III
153,Eltanin,47.30368968779565,K5III,153,III
154,Emiw,36.11033875108782,K1IV,154,IV
155,Enif,211.41649048625789,K2Ib-II,155,I
156,Epsilon Eridani,3.219810333852474,K2V,156,V
157,Epsilon Tauri,44.71192109240165,G9.5IIICN0.5,157,III
158,Errai,13.789927009916337,K1III-IVCN1,158,III
159,Fafnir,90.44862518089724,K1.5IIIFe-1,159,III
160,Fang,179.53321364452424,B1V+B2:V:,160,V
161,Fawaris,50.58168942842691,A0IV,161,IV
162,Felis,176.0904400500097,K5III,162,III
163,Felixvarela,34.51572709104904,K4Vk:,163,V
164,Flegetonte,29.357022493350637,K0V,164,V
165,Fomalhaut,7.7035667514059005,A4V,165,V
166,Formosa,138.22655332089295,G9III,166,III
167,Franz,224.85553032176824,F5V,167,V
168,Fulu,181.81818181818184,B2IV,168,IV
169,Fumalsamakah,125.15644555694615,B6Ve,169,V
170,Funi,67.94678407870956,G0V,170,V
171,Furud,111.11111111111111,B2.5V,171,V
172,Fuyue,40.430177084175625,K2III,172,III
173,Gacrux,27.15177844148792,M3.5III,173,III
174,Gakyid,83.62882183715797,G5,174,
175,Giausar,115.66309653242038,M0III-IIIaCa1,175,III
176,Gienah,47.10315591144607,B8III,176,III
177,Ginan,70.42303114810667,K3III,177,III
178,Gloas,230.8935580697298,G1V,178,V
179,Gomeisa,49.578582052553294,B8Ve,179,V
180,Grumium,34.41120704190941,K2III,180,III
181,Gudja,117.09601873536302,M0.5IIIab,181,III
182,Gumala,27.53948473624058,F8V,182,V
183,Guniibuu,5.933309600094933,K2V+K1V,183,V
184,Hadar,120.19230769230768,B1III,184,III
185,Haedus,71.32260641332877,B3V,185,V
186,Hamal,20.177562550443906,K2-IIIbCa-1,186,III
187,Hassaleh,137.94815908181704,K3II-III,187,II
188,Hatysa,714.2857142857143,O9IIIvar,188,III
189,Helvetios,15.526793034059574,G2IV,189,IV
190,Heze,22.85886706883033,A2Van,190,V
191,Hoggar,186.29606170125564,G8IV,191,IV
192,Homam,62.65664160401002,B8V,192,V
193,Horna,251.59131506780383,G,193,
194,Hunahpu,113.16697787585584,K0III/IV,194,III
195,Hunor,128.5165336520543,F8V,195,V
196,Iklil,144.7178002894356,B2IV-V,196,IV
197,Illyrian,126.6560275603516,G0,197,
198,Imai,139.50698232446533,B2IV,198,IV
199,Inquill,55.66193169167743,G1V(w),199,V
200,Intan,47.71880263980417,K3/4III/V,200,III
201,Intercrus,84.62886013388285,K0III,201,III
202,Irena,136.2899159091219,F8,202,
203,Itonda,44.90587728121857,G1/3(V),203,V
